Pos,Equipo,PJ,PG,PE,PP,Pts
1.0,CF Barcelona,26.0,17.0,5.0,4.0,39.0
2.0,Real Madrid,26.0,18.0,2.0,6.0,38.0
3.0,Atlético Aviación,26.0,13.0,5.0,8.0,31.0
4.0,Real Oviedo,26.0,13.0,5.0,8.0,31.0
5.0,Valencia CF,26.0,12.0,6.0,8.0,30.0
6.0,Atlético de Bilbao,26.0,14.0,2.0,10.0,30.0
7.0,Real Gijón,26.0,9.0,6.0,11.0,24.0
8.0,CD Castellón,26.0,10.0,4.0,12.0,24.0
9.0,RCD Español,26.0,10.0,3.0,13.0,23.0
10.0,Sevilla CF,26.0,9.0,4.0,13.0,22.0
11.0,Real Murcia,26.0,7.0,5.0,14.0,19.0
12.0,Granada CF,26.0,7.0,5.0,14.0,19.0
13.0,CD Sabadell,26.0,6.0,5.0,15.0,17.0
14.0,Deportivo de La Coruña,26.0,5.0,7.0,14.0,17.0
